Name,Nickname,Company,Level Audition,note,ep1,ep2,ep4
Ahn Bohyeon,Bohyeon,SYNK IN Labels,-,,18,20,20
Baba Manato,Manato,LOTUSBASE,-,,4,3,3
Bae Bitgaram,Bitgaram,Touch Entertainment,-,,25,19,13
Chen Guiying,Guiying,Ribbon Media,-,,19,27,28
Choi Wonjun,Wonjun,LoveRail Entertainment,-,,14,15,18
Christian Seeha,Christian,FIVE,-,,26,22,22
Cillian Clover-Lee,Cillian ,OWAIN DIRECTIVE,-,,23,17,21
Duan Tianyi,Tianyi,YR Entertainment,-,,15,9,10
Ellis De la Paz,Ellis,EKLEIPSIS Entertainment,-,,20,25,26
Han Sangyeon,Sangyeon,Independent,-,,1,1,5
Jin Kanghyun,Kanghyun,DALCOM Studios,-,,2,7,8
Kang Mario,Mario,Independent,-,,17,12,12
Keum Jihyun,Jihyun,Muses Morph Entertainment,-,,10,28,25
Ko Minsoo,Minsoo,YR Entertainment,-,,11,18,17
Komatsubara Reon,Reon,Independent,-,,9,2,1
Kyrell,Kyrell,DALCOM Studios,-,,27,33,30
Lee Hanhee,Hanhee,NEWWAVE,-,,3,6,6
Misha Gabrielyan,Misha,DALCOM Studios,-,,8,11,14
Miyoshi Akira,Akira,ODDYSSEY,-,,16,13,16
Monte Zakharyan ,Monte,Independent,-,,6,5,4
Na Yunwoo,Yunwoo,SYNK IN Labels,-,,28,35,35
Nakamura Ryuto,Ryuto,SOLAR-LIGHT Music,-,,29,31,32
Nicolas Hwang,Nicolas,Independent,-,,30,10,9
Oh Reheon,Reheon,SIC Entertainment,-,,24,8,7
Park Donggyu,Donggyu,ORBITONIC Labels,-,,5,4,2
Ryuk Jihwan,Jihwan,Origin Music,-,,7,14,11
Seo Jimin,Jimin,Nymphe Entertainment,-,,31,34,27
Sim Seowon,Seowon,IRHOY,-,,12,26,29
Skip,Skip,SYNK IN Labels,-,,32,32,34
Tsai Chienhung,Chienhung,Independent,-,,21,21,23
Waidy Chen,Waidy,JHC Entertainment,-,,33,24,15
Xie Haoran,Haoran,Ribbon Media,-,,34,16,19
Yang Hyeonjin,Hyeonjin,LOTUSBASE,-,,35,23,24
Yoo Jaehyun,Jaehyun,IRHOY,-,,13,30,33
Yoon Nayoung,Nayoung,MAGNUM Entertainment,-,,22,29,31